airfoil,r_le,x_up_pt,z_up_pt,zxx_up_pt,x_lo_pt,z_lo_pt,zxx_lo_pt,z_te,dz_te,alpha_te,beta_te,alpha,Cl
Airfoil_25,0.0198234,0.374072,0.0882572,-1.62662,0.360712,-0.00229883,-1.4277,0.0,0.0,-4.30946,-10.7493,14,1.33896247
Airfoil_25,0.0198234,0.374072,0.0882572,-1.62662,0.360712,-0.00229883,-1.4277,0.0,0.0,-4.30946,-10.7493,16,1.34973329
Airfoil_26,0.0135695,0.517554,0.10975,-0.718838,0.438807,-0.113153,0.406068,0.0,0.0,0.399439,-3.12987,0,-0.05774757
Airfoil_26,0.0135695,0.517554,0.10975,-0.718838,0.438807,-0.113153,0.406068,0.0,0.0,0.399439,-3.12987,6,0.41106592
Airfoil_26,0.0135695,0.517554,0.10975,-0.718838,0.438807,-0.113153,0.406068,0.0,0.0,0.399439,-3.12987,12,0.85065376
Airfoil_26,0.0135695,0.517554,0.10975,-0.718838,0.438807,-0.113153,0.406068,0.0,0.0,0.399439,-3.12987,14,0.92376195
Airfoil_26,0.0135695,0.517554,0.10975,-0.718838,0.438807,-0.113153,0.406068,0.0,0.0,0.399439,-3.12987,16,0.98292363
Airfoil_27,0.016786,0.338595,0.0353098,-0.406504,0.340555,-0.0917155,0.100788,0.0,0.0,15.8869,-5.97393,0,-0.63743165
Airfoil_27,0.016786,0.338595,0.0353098,-0.406504,0.340555,-0.0917155,0.100788,0.0,0.0,15.8869,-5.97393,6,0.02914921
Airfoil_27,0.016786,0.338595,0.0353098,-0.406504,0.340555,-0.0917155,0.100788,0.0,0.0,15.8869,-5.97393,12,0.68925926
Airfoil_27,0.016786,0.338595,0.0353098,-0.406504,0.340555,-0.0917155,0.100788,0.0,0.0,15.8869,-5.97393,14,0.24240114
Airfoil_27,0.016786,0.338595,0.0353098,-0.406504,0.340555,-0.0917155,0.100788,0.0,0.0,15.8869,-5.97393,16,0.23189917
Airfoil_28,0.0083903,0.455985,0.0667153,-0.953679,0.309935,-0.13357,-0.0546579,0.0,0.0,18.337,-17.7142,0,-0.01458576
Airfoil_28,0.0083903,0.455985,0.0667153,-0.953679,0.309935,-0.13357,-0.0546579,0.0,0.0,18.337,-17.7142,6,0.58824629
Airfoil_28,0.0083903,0.455985,0.0667153,-0.953679,0.309935,-0.13357,-0.0546579,0.0,0.0,18.337,-17.7142,12,-0.51470082
Airfoil_28,0.0083903,0.455985,0.0667153,-0.953679,0.309935,-0.13357,-0.0546579,0.0,0.0,18.337,-17.7142,14,0.10022641
Airfoil_28,0.0083903,0.455985,0.0667153,-0.953679,0.309935,-0.13357,-0.0546579,0.0,0.0,18.337,-17.7142,16,-0.11317137
Airfoil_29,0.0141299,0.454983,0.0718023,-1.268,0.310471,-0.0953148,0.985277,0.0,0.0,24.0542,-15.8894,0,-0.37292467
Airfoil_29,0.0141299,0.454983,0.0718023,-1.268,0.310471,-0.0953148,0.985277,0.0,0.0,24.0542,-15.8894,6,0.3418199
Airfoil_29,0.0141299,0.454983,0.0718023,-1.268,0.310471,-0.0953148,0.985277,0.0,0.0,24.0542,-15.8894,12,0.63555903
Airfoil_29,0.0141299,0.454983,0.0718023,-1.268,0.310471,-0.0953148,0.985277,0.0,0.0,24.0542,-15.8894,14,0.71724879
Airfoil_29,0.0141299,0.454983,0.0718023,-1.268,0.310471,-0.0953148,0.985277,0.0,0.0,24.0542,-15.8894,16,0.63444865
Airfoil_30,0.0205699,0.374391,0.100432,-0.50263,0.386099,-0.0939531,0.0162943,0.0,0.0,7.87181,-6.45978,0,-0.07917334
Airfoil_30,0.0205699,0.374391,0.100432,-0.50263,0.386099,-0.0939531,0.0162943,0.0,0.0,7.87181,-6.45978,6,0.46683098
Airfoil_30,0.0205699,0.374391,0.100432,-0.50263,0.386099,-0.0939531,0.0162943,0.0,0.0,7.87181,-6.45978,12,0.93295212
Airfoil_30,0.0205699,0.374391,0.100432,-0.50263,0.386099,-0.0939531,0.0162943,0.0,0.0,7.87181,-6.45978,14,1.05713078
Airfoil_30,0.0205699,0.374391,0.100432,-0.50263,0.386099,-0.0939531,0.0162943,0.0,0.0,7.87181,-6.45978,16,1.14665506
Airfoil_33,0.0160288,0.38739,0.11574,-0.909371,0.406101,-0.0886024,0.65393,0.0,0.0,-21.6351,-5.89116,0,-269302745419961113874754990164272161391529898853531648.00000000
Airfoil_33,0.0160288,0.38739,0.11574,-0.909371,0.406101,-0.0886024,0.65393,0.0,0.0,-21.6351,-5.89116,6,-689633094719369473129735368269480386401395652366225179295726174208.00000000
Airfoil_33,0.0160288,0.38739,0.11574,-0.909371,0.406101,-0.0886024,0.65393,0.0,0.0,-21.6351,-5.89116,12,-161224801209030409045376455147821989888.00000000
Airfoil_33,0.0160288,0.38739,0.11574,-0.909371,0.406101,-0.0886024,0.65393,0.0,0.0,-21.6351,-5.89116,14,2243344922913492020403456024658669850605869303916379733229568.00000000
Airfoil_33,0.0160288,0.38739,0.11574,-0.909371,0.406101,-0.0886024,0.65393,0.0,0.0,-21.6351,-5.89116,16,92996819283261432880003219788087180987352328155316105510912.00000000
Airfoil_34,0.0152696,0.34292,0.106403,-0.775174,0.442185,-0.0133062,0.396928,0.0,0.0,-13.5924,-3.23246,0,0.6422194
Airfoil_34,0.0152696,0.34292,0.106403,-0.775174,0.442185,-0.0133062,0.396928,0.0,0.0,-13.5924,-3.23246,6,1.27817243
Airfoil_34,0.0152696,0.34292,0.106403,-0.775174,0.442185,-0.0133062,0.396928,0.0,0.0,-13.5924,-3.23246,12,1.74506624
Airfoil_34,0.0152696,0.34292,0.106403,-0.775174,0.442185,-0.0133062,0.396928,0.0,0.0,-13.5924,-3.23246,14,1.84700726
Airfoil_34,0.0152696,0.34292,0.106403,-0.775174,0.442185,-0.0133062,0.396928,0.0,0.0,-13.5924,-3.23246,16,1.8933034
Airfoil_35,0.00885147,0.533089,0.0568989,-0.25655,0.30688,0.0284591,-1.00022,0.0,0.0,5.53948,-8.15489,0,0.25411405
Airfoil_35,0.00885147,0.533089,0.0568989,-0.25655,0.30688,0.0284591,-1.00022,0.0,0.0,5.53948,-8.15489,6,0.89041928
Airfoil_35,0.00885147,0.533089,0.0568989,-0.25655,0.30688,0.0284591,-1.00022,0.0,0.0,5.53948,-8.15489,12,1.42902557
Airfoil_35,0.00885147,0.533089,0.0568989,-0.25655,0.30688,0.0284591,-1.00022,0.0,0.0,5.53948,-8.15489,14,1.55269545
Airfoil_35,0.00885147,0.533089,0.0568989,-0.25655,0.30688,0.0284591,-1.00022,0.0,0.0,5.53948,-8.15489,16,1.6307487
Airfoil_36,0.0123179,0.407433,0.0800539,-1.99877,0.334071,-0.135302,0.499091,0.0,0.0,8.47822,-18.5914,0,-0.35274132
Airfoil_36,0.0123179,0.407433,0.0800539,-1.99877,0.334071,-0.135302,0.499091,0.0,0.0,8.47822,-18.5914,6,0.19650792
Airfoil_36,0.0123179,0.407433,0.0800539,-1.99877,0.334071,-0.135302,0.499091,0.0,0.0,8.47822,-18.5914,12,-0.2640955
Airfoil_36,0.0123179,0.407433,0.0800539,-1.99877,0.334071,-0.135302,0.499091,0.0,0.0,8.47822,-18.5914,14,-0.16210934
Airfoil_36,0.0123179,0.407433,0.0800539,-1.99877,0.334071,-0.135302,0.499091,0.0,0.0,8.47822,-18.5914,16,-0.11040364
Airfoil_37,0.00932699,0.495027,0.0987726,-1.16847,0.339841,-0.13426,-0.191811,0.0,0.0,-2.55621,-14.86,0,0.26959979
Airfoil_37,0.00932699,0.495027,0.0987726,-1.16847,0.339841,-0.13426,-0.191811,0.0,0.0,-2.55621,-14.86,6,0.83968129
Airfoil_37,0.00932699,0.495027,0.0987726,-1.16847,0.339841,-0.13426,-0.191811,0.0,0.0,-2.55621,-14.86,12,0.4345956
Airfoil_37,0.00932699,0.495027,0.0987726,-1.16847,0.339841,-0.13426,-0.191811,0.0,0.0,-2.55621,-14.86,14,0.10648942
Airfoil_37,0.00932699,0.495027,0.0987726,-1.16847,0.339841,-0.13426,-0.191811,0.0,0.0,-2.55621,-14.86,16,-0.41223526
Airfoil_38,0.0217759,0.383606,0.108232,-0.747348,0.395308,-0.033851,0.653615,0.0,0.0,-12.0346,-13.6046,0,0.54504388
Airfoil_38,0.0217759,0.383606,0.108232,-0.747348,0.395308,-0.033851,0.653615,0.0,0.0,-12.0346,-13.6046,6,1.16991037
Airfoil_38,0.0217759,0.383606,0.108232,-0.747348,0.395308,-0.033851,0.653615,0.0,0.0,-12.0346,-13.6046,12,1.65564225
Airfoil_38,0.0217759,0.383606,0.108232,-0.747348,0.395308,-0.033851,0.653615,0.0,0.0,-12.0346,-13.6046,14,1.77233048
Airfoil_38,0.0217759,0.383606,0.108232,-0.747348,0.395308,-0.033851,0.653615,0.0,0.0,-12.0346,-13.6046,16,1.83001881
Airfoil_39,0.0135076,0.514713,0.105031,-1.30268,0.358949,-0.145248,0.0851196,0.0,0.0,20.136,-2.05385,0,0.01758063
Airfoil_39,0.0135076,0.514713,0.105031,-1.30268,0.358949,-0.145248,0.0851196,0.0,0.0,20.136,-2.05385,6,0.29121716
Airfoil_39,0.0135076,0.514713,0.105031,-1.30268,0.358949,-0.145248,0.0851196,0.0,0.0,20.136,-2.05385,12,0.24995311
Airfoil_39,0.0135076,0.514713,0.105031,-1.30268,0.358949,-0.145248,0.0851196,0.0,0.0,20.136,-2.05385,14,0.39007626
Airfoil_39,0.0135076,0.514713,0.105031,-1.30268,0.358949,-0.145248,0.0851196,0.0,0.0,20.136,-2.05385,16,0.5273606
